ID,資源名稱,資源連結
Discrete_Mathematics,108年段考考題 ,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/DM_exam_paper.pdf
Object_Oriented_Programming_Language,考古題、作業與重點整理,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/OOP_file
Object_Oriented_Programming_Language,我的Project 指定題,https://github.com/UT0903/Travel
Object_Oriented_Programming_Language,我的Project 自選題,https://github.com/b07902011/oopProject
Probability,中華科大影片,https://www.youtube.com/c/CUSTCourses/playlists?view=50&sort=dd&shelf_id=5
Probability,中華科大影片筆記,https://hackmd.io/@9uvrhpAFTKq0YY9PWUt5-g/r1jB9BmP8
Probability,108年Quiz1考古題,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/Pb_quiz1.pdf
Operating_Systems,2018期中考古,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/OS_2018_final_exam
Operating_Systems,2020期末考古,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/OS_2020_final_exam_paper.pdf
Operating_Systems,期中考古共筆(須登入hackmd),https://hackmd.io/RSPMWtBuRUyp-76CppXPOw
Operating_Systems,須登入hackmd,https://hackmd.io/bqLsbhnuQ8K4jZPH8zse7Q
Operating_Systems,我的OS project1,https://github.com/UT0903/os-project-one
Operating_Systems,我的OS project2（有錯誤在裡面）,https://github.com/UT0903/os-project2
Operating_Systems,郭大維教授的影片,https://www.youtube.com/watch?v=OQiCacvx5rQ&list=PLco3ZjBUnBUKNn0ANhQ1N7aJbYUmMlgc8
Scientific_Computing,我的程式作業code,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/SC_HW_code
Programming_for_Business_Computing_in_Python,線上課程網站,https://www.dlc.ntu.edu.tw/moocs-credit-announce/
Linear_Algebra,碩士考考題共筆,https://hackmd.io/yudEAQGzQ22wG7O-IEYXwA
Systems_Programming,期中考共筆（須登入hackmd）,https://hackmd.io/rIgVJpooQn2eRbLCxvrAMw
Systems_Programming,108年期中考考古題,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/SP_middle_exam.pdf
Systems_Programming,期末考共筆（須登入hackmd）,https://hackmd.io/bJZwWckCRk2H_dWvHWTLdg
Systems_Programming,期末考考古題,https://hackmd.io/MYC_SqMPT4WqPwN1HLVTBA
Systems_Programming,SP作業（手寫與程式）,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/SP
Calculus,李國瑋教授微積分甲上影片,https://ceiba.ntu.edu.tw/modules/index.php?csn=eceba1&default_fun=info&current_lang=chinese&fbclid=IwAR13z3TaE72INkdudxdwUW80OVI9TMvbe9SSUnWuh_KQmzyuzNvQxzs4zqY
Calculus,李國瑋教授微積分甲下影片,https://ceiba.ntu.edu.tw/modules/index.php?csn=869a4c&default_fun=info&current_lang=chinese&fbclid=IwAR2YL1s8UgAB_ES09XBDJ9_1OoPtI6odrH-_yHZiPkDZ-YqMlqs4EWQm0Tw
Global_Music_Culture,期中個人報告,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/music/personal.pdf
Global_Music_Culture,期末團體報告,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/music/group.pdf
Introduction_to_Computer,hw2-hw5,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/computer_intro
Introduction_to_Computer,團體project,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/computer_intro/project
